Mileage,Name,Description
40000,Oil Change,Replace the oil in a car's engine.
40000,Fluid Checking,Check the levels of various fluids in a car such as brake fluid and coolant.
40000,Tires Rotating,Switch the position of a car's tires to ensure even wear and tear.
60000,Oil Change,Replace the oil in a car's engine.
60000,Fluid Checking,Check the levels of various fluids in a car such as brake fluid and coolant.
60000,Tires Rotating,Switch the position of a car's tires to ensure even wear and tear.
60000,Safety Check,Inspect various components of a car to ensure that they are functioning properly and safely.
80000,Oil Change,Replace the oil in a car's engine.
80000,Fluid Checking,Check the levels of various fluids in a car such as brake fluid and coolant.
80000,Tires Rotating,Switch the position of a car's tires to ensure even wear and tear.
80000,Safety Check,Inspect various components of a car to ensure that they are functioning properly and safely.
80000,Brake Check,Inspect a car's brakes to ensure that they are working properly and safely.